,submit_time,duration,cpu,memory,job_id,task_id,instances_num,disk
0,6459,65,0.5,0.00795692801490953,3,4,15740,0
1,366,184,1.0,0.00540470582144799,1,1,283,0
2,2861,94,0.5,0.00438485232832035,2,3,1,0
3,2864,79,0.5,0.00794657417233971,2,2,15740,0
4,6457,76,0.5,0.0043952061708901700,3,5,1,0
7,6069,266,0.5,0.0160070406129475,5,8,452,0
8,6070,316,0.5,0.0107058732171977,5,9,393,0
9,6406,187,1.0,0.00275412212357311,6,10,2,0
10,6624,682,0.5,0.00573602878368234,7,13,487,0
11,6624,5752,0.5,0.00573602878368234,7,11,2202,0
12,6624,124,0.5,0.0160070406129475,7,17,262,0
13,6624,1900,0.5,0.0213082080086972,7,19,2439,0
14,6624,272,0.5,0.0160070406129475,7,18,434,0
15,6624,206,0.5,0.0133564569150726,7,16,40,0
16,6624,44,0.5,0.0160070406129475,7,15,15,0
17,6624,346,0.5,0.009401289053399940,7,12,633,0
18,6624,4006,0.5,0.0213082080086972,7,14,2200,0
19,6625,231,0.5,0.00413118318535967,7,20,10000,0
20,7975,96,0.5,0.00442109077731473,8,22,1,0
21,7978,84,0.5,0.00795175109362462,8,21,15740,0
22,7275,82,0.5,0.00786374343178112,9,23,67,0
23,7275,66,0.5,0.0133564569150726,9,27,28,0
24,7275,3,0.5,0.00409494473636528,9,28,1,0
25,7275,89,0.5,0.00784821266792639,9,24,21,0
26,7275,27,0.5,0.0160070406129475,9,25,17,0
27,7275,2,0.5,0.00540470582144799,9,26,1,0
28,8077,183,1.0,0.00540470582144799,10,36,19,0
29,8077,183,1.0,0.00540470582144799,10,32,17,0
30,8077,2,1.0,0.00540470582144799,10,33,1,0
31,8077,183,1.0,0.00540470582144799,10,35,7,0
32,8077,186,1.0,0.00540470582144799,10,31,27,0
33,8077,183,1.0,0.00540470582144799,10,30,19,0
34,8077,2,1.0,0.00540470582144799,10,34,1,0
35,8077,183,1.0,0.00540470582144799,10,29,15,0
36,9660,119,0.5,0.00442109077731473,11,38,1,0
37,9663,105,0.5,0.0042502523749126400,11,37,15740,0
38,8514,56,0.5,0.0160070406129475,12,44,393,0
39,8514,4,0.5,0.00407423705122564,12,43,1,0
40,8514,7,0.5,0.00410529857893511,12,42,1,0
41,8514,56,0.5,0.0133564569150726,12,50,183,0
42,8514,52,0.5,0.0107058732171977,12,46,3,0
43,8514,56,0.5,0.0102140656951311,12,41,9,0
44,8514,56,0.5,0.0097740273859136,12,47,8,0
45,8514,56,0.5,0.00831413558356845,12,48,13,0
46,8514,56,0.5,0.0107058732171977,12,45,115,0
47,8514,56,0.5,0.007936220329769890,12,39,131,0
48,8514,8,0.5,0.00405352936608599,12,49,1,0
49,8514,56,0.5,0.00840214324541195,12,40,361,0
50,8593,10,0.5,0.00410529857893511,13,54,1,0
51,8593,89,0.5,0.0107058732171977,13,57,115,0
52,8593,5505,0.5,0.00831413558356845,13,60,13,0
53,8593,5467,0.5,0.00840214324541195,13,52,361,0
54,8593,15,0.5,0.00405352936608599,13,61,1,0
55,8593,77,0.5,0.0097740273859136,13,59,8,0
56,8593,169,0.5,0.0160070406129475,13,56,393,0
57,8593,5354,0.5,0.0133564569150726,13,62,184,0
58,8593,177,0.5,0.0102140656951311,13,53,9,0
59,8593,6,0.5,0.00407423705122564,13,55,1,0
60,8593,119,0.5,0.0107058732171977,13,58,3,0
61,8593,5378,0.5,0.007936220329769890,13,51,131,0
62,14121,203,1.0,0.00275412212357311,14,63,1,0
63,10718,446,0.5,0.0160070406129475,15,66,631,0
64,10718,198,0.5,0.0186576243108224,15,65,300,0
65,10718,2179,0.5,0.0160070406129475,15,64,2003,0
66,10719,613,0.5,0.00573602878368234,15,67,1705,0
67,10735,482,0.5,0.00825718944943442,16,74,243,0
68,10735,128,0.5,0.0133564569150726,16,72,357,0
69,10735,86,0.5,0.0160070406129475,16,71,253,0
70,10735,325,0.5,0.0102658349079802,16,68,435,0
71,10735,13,0.5,0.0041001216576502,16,69,1,0
72,10735,7,0.5,0.00407423705122564,16,70,1,0
73,10735,433,0.5,0.00952035824295292,16,73,243,0
74,10869,116,0.5,0.00784821266792639,17,76,21,0
75,10869,108,0.5,0.00786374343178112,17,75,67,0
76,10869,8,0.5,0.00409494473636528,17,80,1,0
77,10869,4,0.5,0.00540470582144799,17,78,1,0
78,10869,25,0.5,0.0160070406129475,17,77,17,0
79,10869,91,0.5,0.0133564569150726,17,79,28,0
80,11792,207,0.5,0.0133564569150726,18,88,257,0
81,11792,2539,0.5,0.0160070406129475,18,82,1559,0
82,11792,320,0.5,0.0133564569150726,18,91,321,0
83,11792,166,0.5,0.0133564569150726,18,89,10,0
84,11792,381,0.5,0.0133564569150726,18,83,387,0
85,11792,9,0.5,0.00404317552351617,18,90,1,0
86,11792,4,0.5,0.0039655217042424900,18,84,1,0
87,11792,165,0.5,0.0104987963658013,18,87,115,0
88,11792,54,0.5,0.0160070406129475,18,86,27,0
89,11792,1661,0.5,0.0213082080086972,18,85,1414,0
90,11792,510,0.5,0.0133564569150726,18,81,347,0
91,14345,162,1.0,0.00275412212357311,19,92,8,0
92,12554,392,0.5,0.0160070406129475,20,93,1085,0
93,12997,1337,0.5,0.00985685812647219,21,94,1015,0
94,12997,312,0.5,0.0160070406129475,21,96,631,0
95,12997,829,0.5,0.0186576243108224,21,95,391,0
96,12997,195,0.5,0.00573602878368234,21,97,477,0
97,12985,80,0.5,0.00573602878368234,22,102,9,0
98,12985,75,0.5,0.00573602878368234,22,105,7,0
99,12985,31,0.5,0.00805528951932286,22,99,9,0
100,12985,54,0.5,0.00573602878368234,22,103,3,0
101,12985,44,0.5,0.00805528951932286,22,101,10,0
102,12985,34,0.5,0.0041881293194937,22,98,23,0
103,12985,99,0.5,0.00805528951932286,22,100,161,0
104,12985,139,0.5,0.00573602878368234,22,104,171,0
105,14227,89,0.5,0.0105039732870862,23,112,115,0
106,14227,34,0.5,0.00805528951932286,23,113,3,0
107,14227,357,0.5,0.00810705873217198,23,107,241,0
108,14227,7,0.5,0.00402764475966143,23,110,1,0
109,14227,123,0.5,0.0186576243108224,23,111,304,0
110,14227,187,0.5,0.0186576243108224,23,114,365,0
111,14227,268,0.5,0.00846944322211581,23,109,397,0
112,14227,35,0.5,0.0160070406129475,23,115,218,0
113,14227,636,0.5,0.00829860481971372,23,108,315,0
114,14227,70,0.5,0.00883182771205964,23,116,27,0
115,14227,317,0.5,0.0133564569150726,23,106,19,0
116,14227,93,0.5,0.008764527735355780,23,117,29,0
117,14883,295,1.0,0.00275412212357311,24,118,7,0
118,14466,157,0.5,0.00786374343178112,25,119,67,0
119,14466,80,0.5,0.0133564569150726,25,123,28,0
120,14466,5,0.5,0.00540470582144799,25,122,1,0
121,14466,30,0.5,0.0160070406129475,25,121,17,0
122,14466,166,0.5,0.00784821266792639,25,120,21,0
123,14466,5,0.5,0.00409494473636528,25,124,1,0
124,16122,82,0.5,0.0133564569150726,26,128,2,0
125,16122,74,0.5,0.0133564569150726,26,129,3,0
126,16122,1913,0.5,0.00861439701809334,26,127,615,0
127,16122,36,0.5,0.0160070406129475,26,130,11,0
128,16122,142,0.5,0.0133564569150726,26,131,64,0
129,16122,1075,0.5,0.0160070406129475,26,125,785,0
130,16122,132,0.5,0.0107058732171977,26,132,116,0
131,16122,193,0.5,0.00934951984055082,26,135,129,0
132,16122,180,0.5,0.0092097429658582,26,136,227,0
133,16122,308,0.5,0.0160070406129475,26,134,511,0
134,16122,1462,0.5,0.0160070406129475,26,126,527,0
135,16122,470,0.5,0.0160070406129475,26,133,477,0
136,16281,271,0.5,0.0085522739626744,27,147,27,0
137,16281,115,0.5,0.0133564569150726,27,139,103,0
138,16281,248,0.5,0.00893536613775788,27,137,611,0
139,16281,62,0.5,0.00870758160122175,27,149,11,0
140,16281,57,0.5,0.00853156627753475,27,138,15,0
141,16281,9,0.5,0.00407423705122564,27,140,1,0
142,16281,199,0.5,0.0160070406129475,27,141,195,0
143,16281,47,0.5,0.00805011259803795,27,142,54,0
144,16281,32,0.5,0.00805528951932286,27,143,3,0
145,16281,259,0.5,0.00910620454015997,27,145,91,0
146,16281,51,0.5,0.0133564569150726,27,144,2,0
147,16281,266,0.5,0.00817435870887583,27,146,87,0
